uri,start_date,duration,activity_avg,activity_min,activity_max,cadence_min,cadence_max,cadence_avg,heartrate_avg,heartrate_min,heartrate_max,breathingrate_avg,breathingrate_min,breathingrate_max,energy_avg,energyecg_avg,energy_min,energy_max,energy_total,tidalvolume_avg,tidalvolume_min,tidalvolume_max,minuteventilation_avg,minuteventilation_min,minuteventilation_max,tidalvolume_adjusted_avg,tidalvolume_adjusted_min,tidalvolume_adjusted_max,minuteventilation_adjusted_avg,minuteventilation_adjusted_min,minuteventilation_adjusted_max,step_count,speed_avg,speed_max,speed_with_pauses_avg,altitude_gain,altitude_loss,distance,HRVHFnorm_avg,HRVHFnorm_min,HRVHFnorm_max,HRVLFnorm_avg,HRVLF_avg,HRVHF_avg,PowerNN,SDNN,SDANN,AVNN,ASDNN,RMSSD,triangularindex,SleepTotalTime,SleepPositionP1Time,SleepPositionP2Time,SleepPositionP3Time,SleepPositionP4Time,SleepPositionP5Time,SleepPositionChanges,SleepEfficiency,VO2_max,heartrate_recovery
,,s,g,g,g,spm,spm,spm,bpm,bpm,bpm,rpm,rpm,rpm,watt,watt,watt,watt,J,L,L,L,L/min,L/min,L/min,L,L,L,L/min,L/min,L/min,Step,m/s,m/s,m/s,m,m,m,%,%,%,%,ms^2,ms^2,ms^2,s,s,s,s,ms,,s,s,s,s,s,s,,%,ml/kg*min,bpm
/api/record/116113/,2017-01-10 14:22:00,34546.0,0.08259372585940518,0.015625,0.8125,30.0,205.0,74.85945945945946,81.25196121001592,30,192,15.265942972933855,1.0,92.0,251.37999894760202,272.8790950345706,86.2791086,1445.8183333333334,8683922.063644912,0.3996608787834902,0.02656,3.46608,7.465896115116245,0.039839999999999993,83.19919999999999,0.5164848279663565,0.034323692307692305,4.479241846153846,9.64823497953484,0.05148553846153845,107.51896615384615,7446,,,,0.0,0.0,4810.95558,,,,,,,,,,,,,,,0,0,0,0,0,0,,,
